genre1,genre2,count
melodic,death,1456
death,melodic,1456
death,thrash,1298
thrash,death,1298
death,black,1123
black,death,1123
death,grindcore,572
grindcore,death,572
death,brutal,520
brutal,death,520
heavy,rock,485
rock,heavy,485
rock,hard,459
hard,rock,459
death,doom,442
doom,death,442
power,heavy,421
heavy,power,421
heavy,hard,408
hard,heavy,408
death,progressive,407
progressive,death,407
melodic,black,394
black,melodic,394
thrash,heavy,375
heavy,thrash,375
thrash,groove,336
groove,thrash,336
death,metalcore,331
metalcore,death,331
thrash,black,313
black,thrash,313
black,ambient,275
ambient,black,275
melodic,heavy,270
heavy,melodic,270
thrash,crossover,266
crossover,thrash,266
doom,black,263
black,doom,263
black,atmospheric,260
atmospheric,black,260
death,technical,252
technical,death,252
power,progressive,235
progressive,power,235
melodic,thrash,233
thrash,melodic,233
black,symphonic,233
symphonic,black,233
doom,sludge,229
sludge,doom,229
melodic,metalcore,228
metalcore,melodic,228
black,raw,203
raw,black,203
thrash,power,202
power,thrash,202
doom,stoner,195
stoner,doom,195
progressive,rock,186
rock,progressive,186
melodic,power,184
power,melodic,184
death,groove,178
groove,death,178
doom,gothic,175
gothic,doom,175
thrash,speed,172
speed,thrash,172
black,pagan,162
pagan,black,162
progressive,heavy,159
heavy,progressive,159
thrash,progressive,157
progressive,thrash,157
black,folk,156
folk,black,156
black,depressive,153
depressive,black,153
metalcore,thrash,148
thrash,metalcore,148
death,deathcore,129
deathcore,death,129
melodic,progressive,122
progressive,melodic,122
thrash,hardcore,114
hardcore,thrash,114
doom,funeral,113
heavy,speed,113
speed,heavy,113
funeral,doom,113
black,gothic,111
gothic,black,111
death,gothic,109
gothic,death,109
symphonic,gothic,105
gothic,symphonic,105
symphonic,power,102
power,symphonic,102
brutal,grindcore,95
grindcore,brutal,95
melodic,rock,94
rock,melodic,94
death,blackened,92
blackened,death,92
black,progressive,91
progressive,black,91
death,symphonic,87
symphonic,death,87
stoner,rock,84
rock,stoner,84
doom,progressive,83
progressive,doom,83
doom,heavy,81
heavy,doom,81
melodic,doom,80
doom,melodic,80
doom,atmospheric,78
doom,rock,78
atmospheric,doom,78
rock,doom,78
death,industrial,77
stoner,sludge,77
power,speed,77
sludge,stoner,77
speed,power,77
industrial,death,77
metalcore,groove,76
groove,metalcore,76
melodic,gothic,74
gothic,melodic,74
black,experimental,73
experimental,black,73
death,hardcore,69
hardcore,death,69
doom,drone,67
drone,doom,67
death,atmospheric,65
atmospheric,death,65
death,experimental,64
experimental,death,64
melodic,hard,63
thrash,punk,63
black,dark,63
punk,thrash,63
hard,melodic,63
dark,black,63
black,industrial,62
industrial,black,62
ambient,dark,61
dark,ambient,61
death,power,60
power,death,60
gothic,rock,57
rock,gothic,57
gothic,progressive,56
progressive,gothic,56
melodic,groove,55
black,grindcore,55
groove,melodic,55
grindcore,black,55
death,folk,54
folk,death,54
symphonic,progressive,53
progressive,symphonic,53
groove,heavy,52
heavy,groove,52
doom,psychedelic,51
psychedelic,doom,51
thrash,grindcore,50
black,punk,50
punk,black,50
grindcore,thrash,50
black,epic,45
black,crust,45
crust,black,45
epic,black,45
melodic,symphonic,43
technical,progressive,43
black,noise,43
symphonic,melodic,43
progressive,shred,43
progressive,technical,43
noise,black,43
shred,progressive,43
death,heavy,42
death,goregrind,42
thrash,technical,42
technical,thrash,42
groove,progressive,42
progressive,groove,42
heavy,death,42
sludge,post-metal,42
post-metal,sludge,42
goregrind,death,42
melodic,folk,41
black,avant-garde,41
avant-garde,black,41
folk,melodic,41
death,rock,40
rock,death,40
doom,ambient,39
ambient,doom,39
power,rock,39
hardcore,punk,39
rock,power,39
punk,hardcore,39
melodic,deathcore,38
thrash,doom,38
doom,thrash,38
deathcore,melodic,38
stoner,heavy,37
heavy,stoner,37
black,viking,36
viking,black,36
heavy,shred,35
shred,heavy,35
rock,psychedelic,35
psychedelic,rock,35
death,crust,34
death,sludge,34
metalcore,progressive,34
gothic,heavy,34
progressive,metalcore,34
heavy,gothic,34
sludge,death,34
crust,death,34
black,heavy,32
heavy,black,32
technical,brutal,31
ambient,atmospheric,31
progressive,sludge,31
sludge,progressive,31
brutal,technical,31
atmospheric,ambient,31
crust,punk,31
punk,crust,31
death,punk,29
death,roll,29
thrash,industrial,29
black,speed,29
speed,black,29
punk,death,29
industrial,thrash,29
roll,death,29
technical,deathcore,28
black,funeral,28
deathcore,technical,28
sludge,atmospheric,28
atmospheric,sludge,28
funeral,black,28
thrash,rock,27
heavy,folk,27
heavy,epic,27
heavy,punk,27
hardcore,crossover,27
pagan,folk,27
crossover,hardcore,27
rock,thrash,27
punk,heavy,27
folk,heavy,27
folk,pagan,27
epic,heavy,27
gothic,folk,26
gothic,industrial,26
power,hard,26
progressive,experimental,26
folk,gothic,26
hard,power,26
experimental,progressive,26
industrial,gothic,26
death,viking,25
doom,folk,25
symphonic,heavy,25
gothic,power,25
power,gothic,25
progressive,folk,25
heavy,symphonic,25
folk,doom,25
folk,progressive,25
viking,death,25
thrash,crust,24
power,folk,24
progressive,atmospheric,24
atmospheric,progressive,24
crust,thrash,24
folk,power,24
doom,experimental,23
crossover,punk,23
punk,crossover,23
experimental,doom,23
melodic,technical,22
death,avant-garde,22
technical,melodic,22
stoner,psychedelic,22
ambient,folk,22
groove,industrial,22
deathcore,progressive,22
deathcore,brutal,22
progressive,deathcore,22
sludge,drone,22
brutal,goregrind,22
brutal,deathcore,22
avant-garde,death,22
folk,ambient,22
drone,sludge,22
industrial,groove,22
psychedelic,stoner,22
goregrind,brutal,22
stoner,progressive,21
black,rock,21
symphonic,folk,21
progressive,avant-garde,21
progressive,stoner,21
avant-garde,progressive,21
rock,alternative,21
rock,black,21
folk,symphonic,21
alternative,rock,21
doom,blackened,20
blackened,doom,20
thrash,blackened,19
groove,rock,19
groove,sludge,19
power,epic,19
progressive,hard,19
sludge,groove,19
shred,rock,19
rock,groove,19
rock,shred,19
blackened,thrash,19
hard,progressive,19
epic,power,19
death,funeral,18
thrash,gothic,18
doom,epic,18
doom,crust,18
gothic,thrash,18
power,neoclassical,18
progressive,extreme,18
crust,doom,18
epic,doom,18
extreme,progressive,18
funeral,death,18
neoclassical,power,18
death,crossover,17
doom,symphonic,17
doom,industrial,17
black,drone,17
black,sludge,17
symphonic,doom,17
heavy,nwobhm,17
heavy,neoclassical,17
hardcore,sludge,17
sludge,hardcore,17
sludge,black,17
atmospheric,folk,17
crossover,death,17
folk,atmospheric,17
nwobhm,heavy,17
drone,black,17
industrial,doom,17
neoclassical,heavy,17
melodic,speed,16
melodic,viking,16
thrash,sludge,16
doom,hard,16
ambient,drone,16
heavy,crossover,16
sludge,thrash,16
crossover,heavy,16
rock,pop,16
rock,folk,16
speed,melodic,16
pop,rock,16
folk,rock,16
folk,viking,16
hard,doom,16
drone,ambient,16
viking,folk,16
viking,melodic,16
technical,grindcore,15
doom,avant-garde,15
doom,dark,15
doom,post-metal,15
black,shoegaze,15
ambient,raw,15
symphonic,rock,15
groove,hardcore,15
hardcore,groove,15
atmospheric,depressive,15
atmospheric,post-black,15
atmospheric,post-metal,15
post-metal,atmospheric,15
post-metal,doom,15
avant-garde,doom,15
raw,ambient,15
post-black,atmospheric,15
shoegaze,black,15
rock,punk,15
rock,symphonic,15
rock,southern,15
punk,rock,15
depressive,atmospheric,15
grindcore,technical,15
dark,doom,15
southern,rock,15
melodic,dark,14
metalcore,deathcore,14
thrash,stoner,14
thrash,experimental,14
thrash,symphonic,14
doom,post-rock,14
stoner,thrash,14
stoner,southern,14
ambient,depressive,14
symphonic,thrash,14
deathcore,metalcore,14
progressive,post-metal,14
post-metal,progressive,14
raw,noise,14
noise,raw,14
crust,grindcore,14
depressive,ambient,14
grindcore,crust,14
dark,melodic,14
experimental,thrash,14
post-rock,doom,14
southern,stoner,14
melodic,industrial,13
melodic,atmospheric,13
death,pagan,13
thrash,hard,13
black,power,13
black,electronic,13
black,hardcore,13
ambient,experimental,13
groove,southern,13
power,black,13
progressive,fusion,13
hardcore,black,13
atmospheric,melodic,13
pagan,death,13
shred,neoclassical,13
hard,thrash,13
experimental,ambient,13
electronic,industrial,13
electronic,black,13
southern,groove,13
industrial,electronic,13
industrial,melodic,13
neoclassical,shred,13
fusion,progressive,13
death,noise,12
technical,groove,12
doom,noise,12
stoner,groove,12
gothic,atmospheric,12
groove,stoner,12
groove,technical,12
sludge,crust,12
atmospheric,gothic,12
noise,death,12
noise,doom,12
crust,sludge,12
punk,grindcore,12
grindcore,industrial,12
grindcore,experimental,12
grindcore,punk,12
experimental,grindcore,12
middle,eastern,12
eastern,middle,12
industrial,grindcore,12
melodic,blackened,11
death,electronic,11
metalcore,heavy,11
black,brutal,11
ambient,progressive,11
ambient,pagan,11
groove,crossover,11
power,shred,11
progressive,ambient,11
heavy,metalcore,11
heavy,alternative,11
hardcore,grindcore,11
sludge,rock,11
brutal,black,11
pagan,ambient,11
shred,power,11
post-black,shoegaze,11
post-black,depressive,11
shoegaze,post-black,11
crossover,groove,11
rock,sludge,11
blackened,melodic,11
depressive,post-black,11
folk,epic,11
grindcore,hardcore,11
epic,folk,11
electronic,death,11
alternative,heavy,11
death,dark,10
death,stoner,10
death,ambient,10
stoner,death,10
stoner,hard,10
ambient,noise,10
ambient,death,10
progressive,dark,10
progressive,industrial,10
sludge,grindcore,10
sludge,blackened,10
sludge,punk,10
noise,ambient,10
blackened,sludge,10
punk,sludge,10
grindcore,sludge,10
hard,stoner,10
dark,death,10
dark,progressive,10
industrial,progressive,10
melodic,experimental,9
death,epic,9
metalcore,grindcore,9
thrash,deathcore,9
thrash,folk,9
doom,punk,9
black,deathcore,9
ambient,industrial,9
symphonic,industrial,9
symphonic,epic,9
gothic,dark,9
deathcore,black,9
deathcore,thrash,9
progressive,speed,9
heavy,pop,9
post-metal,rock,9
rock,post-metal,9
speed,progressive,9
punk,doom,9
pop,heavy,9
folk,thrash,9
grindcore,metalcore,9
dark,gothic,9
experimental,melodic,9
epic,symphonic,9
epic,death,9
industrial,symphonic,9
industrial,ambient,9
melodic,pagan,8
metalcore,technical,8
thrash,alternative,8
thrash,rac,8
technical,metalcore,8
doom,hardcore,8
doom,power,8
doom,depressive,8
ambient,funeral,8
ambient,rock,8
power,doom,8
progressive,psychedelic,8
progressive,neoclassical,8
heavy,glam,8
hardcore,doom,8
sludge,southern,8
sludge,experimental,8
atmospheric,rock,8
atmospheric,dark,8
pagan,melodic,8
noise,grindcore,8
rock,industrial,8
rock,depressive,8
rock,speed,8
rock,atmospheric,8
rock,ambient,8
rock,experimental,8
speed,rock,8
depressive,rock,8
depressive,doom,8
grindcore,noise,8
dark,atmospheric,8
experimental,sludge,8
experimental,rock,8
funeral,ambient,8
southern,sludge,8
industrial,rock,8
psychedelic,progressive,8
neoclassical,progressive,8
rac,thrash,8
alternative,thrash,8
glam,heavy,8
melodic,ambient,7
melodic,hardcore,7
death,jazz,7
death,raw,7
thrash,southern,7
doom,pagan,7
doom,grindcore,7
black,psychedelic,7
black,post-rock,7
black,post-metal,7
black,neofolk,7
ambient,melodic,7
symphonic,deathcore,7
symphonic,extreme,7
gothic,extreme,7
gothic,avant-garde,7
deathcore,grindcore,7
deathcore,symphonic,7
progressive,blackened,7
progressive,brutal,7
heavy,southern,7
heavy,psychedelic,7
heavy,hardcore,7
hardcore,heavy,7
hardcore,melodic,7
sludge,noise,7
sludge,post-hardcore,7
sludge,psychedelic,7
brutal,progressive,7
atmospheric,post-rock,7
atmospheric,raw,7
post-metal,black,7
pagan,doom,7
avant-garde,gothic,7
raw,atmospheric,7
raw,death,7
noise,experimental,7
noise,sludge,7
speed,punk,7
blackened,progressive,7
punk,speed,7
folk,dark,7
grindcore,deathcore,7
grindcore,doom,7
hard,psychedelic,7
dark,folk,7
dark,industrial,7
experimental,noise,7
post-rock,black,7
post-rock,atmospheric,7
extreme,gothic,7
extreme,symphonic,7
southern,heavy,7
southern,thrash,7
industrial,dark,7
psychedelic,black,7
psychedelic,heavy,7
psychedelic,hard,7
psychedelic,sludge,7
jazz,death,7
post-hardcore,sludge,7
neofolk,black,7
death,alternative,6
death,speed,6
metalcore,rock,6
metalcore,sludge,6
metalcore,hardcore,6
thrash,brutal,6
black,medieval,6
ambient,gothic,6
symphonic,blackened,6
symphonic,atmospheric,6
gothic,darkwave,6
gothic,ambient,6
gothic,blackened,6
groove,hard,6
groove,deathcore,6
groove,power,6
deathcore,groove,6
power,alternative,6
power,groove,6
progressive,alternative,6
heavy,blackened,6
heavy,sludge,6
hardcore,crust,6
hardcore,metalcore,6
sludge,post-rock,6
sludge,metalcore,6
sludge,heavy,6
brutal,thrash,6
atmospheric,avant-garde,6
atmospheric,symphonic,6
atmospheric,epic,6
avant-garde,atmospheric,6
shred,hard,6
shoegaze,post-rock,6
crossover,grindcore,6
rock,electronic,6
rock,metalcore,6
rock,neoclassical,6
speed,death,6
blackened,grindcore,6
blackened,heavy,6
blackened,symphonic,6
blackened,gothic,6
crust,hardcore,6
pop,hard,6
celtic,folk,6
folk,celtic,6
folk,experimental,6
grindcore,blackened,6
grindcore,crossover,6
hard,groove,6
hard,pop,6
hard,shred,6
experimental,industrial,6
experimental,folk,6
drone,funeral,6
post-rock,shoegaze,6
post-rock,sludge,6
epic,atmospheric,6
electronic,rock,6
funeral,drone,6
industrial,experimental,6
neoclassical,rock,6
alternative,death,6
alternative,progressive,6
alternative,power,6
medieval,black,6
darkwave,gothic,6
melodic,grindcore,5
melodic,sludge,5
death,fusion,5
death,psychedelic,5
death,hard,5
metalcore,power,5
metalcore,black,5
thrash,viking,5
thrash,pagan,5
technical,black,5
doom,electronic,5
doom,groove,5
black,groove,5
black,acoustic,5
black,blackened,5
black,technical,5
black,roll,5
black,metalcore,5
black,rac,5
ambient,sludge,5
ambient,electronic,5
ambient,neoclassical,5
symphonic,experimental,5
symphonic,electronic,5
groove,black,5
groove,electronic,5
groove,experimental,5
groove,doom,5
groove,alternative,5
groove,nu-metal,5
power,metalcore,5
progressive,jazz,5
progressive,classical,5
progressive,grindcore,5
heavy,industrial,5
sludge,ambient,5
sludge,funeral,5
sludge,melodic,5
post-metal,post-rock,5
pagan,viking,5
pagan,thrash,5
crossover,speed,5
rock,glam,5
speed,crossover,5
blackened,black,5
folk,eastern,5
grindcore,melodic,5
grindcore,progressive,5
hard,death,5
experimental,symphonic,5
experimental,groove,5
post-rock,post-metal,5
eastern,folk,5
electronic,groove,5
electronic,doom,5
electronic,ambient,5
electronic,symphonic,5
funeral,sludge,5
industrial,heavy,5
industrial,alternative,5
psychedelic,death,5
neoclassical,ambient,5
rac,black,5
jazz,progressive,5
fusion,death,5
alternative,industrial,5
alternative,groove,5
roll,black,5
glam,rock,5
viking,thrash,5
viking,pagan,5
classical,progressive,5
acoustic,black,5
nu-metal,groove,5
melodic,alternative,4
melodic,epic,4
death,neoclassical,4
death,drone,4
metalcore,folk,4
metalcore,hard,4
thrash,funk,4
thrash,avant-garde,4
thrash,electronic,4
thrash,crustcore,4
thrash,grunge,4
thrash,nu-metal,4
technical,experimental,4
technical,power,4
doom,alternative,4
doom,grunge,4
black,post-black,4
black,neoclassical,4
black,extreme,4
gothic,alternative,4
groove,grindcore,4
deathcore,blackened,4
power,technical,4
progressive,middle,4
progressive,eastern,4
progressive,post-rock,4
progressive,djent,4
heavy,atmospheric,4
hardcore,experimental,4
sludge,crossover,4
atmospheric,heavy,4
pagan,epic,4
avant-garde,thrash,4
avant-garde,electronic,4
avant-garde,experimental,4
raw,industrial,4
noise,industrial,4
shred,fusion,4
post-black,black,4
post-black,rock,4
post-black,post-rock,4
funk,thrash,4
crossover,sludge,4
crossover,rac,4
rock,grunge,4
rock,post-black,4
speed,nwobhm,4
speed,hard,4
blackened,crust,4
blackened,deathcore,4
crust,blackened,4
crust,drone,4
folk,metalcore,4
folk,medieval,4
folk,middle,4
grindcore,groove,4
grindcore,powerviolence,4
hard,metalcore,4
hard,speed,4
nwobhm,speed,4
experimental,technical,4
experimental,avant-garde,4
experimental,hardcore,4
drone,post-rock,4
drone,crust,4
drone,death,4
post-rock,progressive,4
post-rock,drone,4
post-rock,post-black,4
epic,melodic,4
epic,pagan,4
middle,progressive,4
middle,folk,4
eastern,progressive,4
electronic,avant-garde,4
electronic,thrash,4
extreme,black,4
industrial,noise,4
industrial,raw,4
neoclassical,black,4
neoclassical,death,4
rac,crossover,4
jazz,fusion,4
fusion,jazz,4
fusion,shred,4
alternative,melodic,4
alternative,doom,4
alternative,gothic,4
grunge,doom,4
grunge,rock,4
grunge,thrash,4
medieval,folk,4
powerviolence,grindcore,4
djent,progressive,4
crustcore,thrash,4
nu-metal,thrash,4
death,various,3
death,post-rock,3
death,middle,3
death,eastern,3
death,nu-metal,3
metalcore,industrial,3
metalcore,brutal,3
metalcore,gothic,3
metalcore,doom,3
metalcore,blackened,3
metalcore,southern,3
thrash,epic,3
thrash,roll,3
thrash,jazz,3
thrash,dark,3
thrash,shred,3
doom,neofolk,3
doom,post-black,3
doom,metalcore,3
stoner,experimental,3
stoner,drone,3
stoner,hardcore,3
stoner,post-metal,3
stoner,alternative,3
black,electronica,3
black,post-punk,3
black,dungeon,3
black,synth,3
black,middle,3
black,eastern,3
ambient,electronica,3
ambient,blackened,3
ambient,post-metal,3
ambient,symphonic,3
symphonic,avant-garde,3
symphonic,depressive,3
symphonic,ambient,3
gothic,electronic,3
gothic,metalcore,3
gothic,epic,3
groove,avant-garde,3
groove,brutal,3
deathcore,djent,3
power,electronic,3
progressive,post-hardcore,3
progressive,electronic,3
heavy,dark,3
heavy,grunge,3
heavy,rac,3
hardcore,speed,3
hardcore,stoner,3
sludge,post-black,3
sludge,powerviolence,3
brutal,groove,3
brutal,experimental,3
brutal,metalcore,3
atmospheric,pagan,3
atmospheric,funeral,3
atmospheric,dungeon,3
atmospheric,synth,3
atmospheric,post-hardcore,3
post-metal,shoegaze,3
post-metal,ambient,3
post-metal,stoner,3
pagan,atmospheric,3
pagan,rac,3
avant-garde,groove,3
avant-garde,symphonic,3
avant-garde,industrial,3
raw,experimental,3
raw,punk,3
shred,thrash,3
post-black,crust,3
post-black,sludge,3
post-black,doom,3
shoegaze,post-metal,3
shoegaze,depressive,3
crossover,rock,3
rock,crossover,3
rock,blues,3
rock,fusion,3
rock,aor,3
speed,epic,3
speed,neoclassical,3
speed,hardcore,3
blackened,folk,3
blackened,ambient,3
blackened,metalcore,3
crust,post-black,3
punk,raw,3
punk,hard,3
depressive,shoegaze,3
depressive,symphonic,3
folk,blackened,3
folk,acoustic,3
grindcore,roll,3
grindcore,goregrind,3
hard,punk,3
hard,southern,3
hard,glam,3
hard,aor,3
dark,experimental,3
dark,drone,3
dark,heavy,3
dark,neofolk,3
dark,thrash,3
experimental,raw,3
experimental,brutal,3
experimental,dark,3
experimental,extreme,3
experimental,stoner,3
experimental,drone,3
experimental,psychedelic,3
drone,dark,3
drone,stoner,3
drone,experimental,3
post-rock,death,3
epic,speed,3
epic,thrash,3
epic,gothic,3
middle,death,3
middle,black,3
eastern,death,3
eastern,black,3
electronic,progressive,3
electronic,gothic,3
electronic,power,3
extreme,experimental,3
funeral,atmospheric,3
funeral,industrial,3
southern,hard,3
southern,metalcore,3
industrial,avant-garde,3
industrial,metalcore,3
industrial,funeral,3
psychedelic,experimental,3
neoclassical,speed,3
rac,pagan,3
rac,heavy,3
rac,oi!,3
jazz,thrash,3
fusion,rock,3
goregrind,grindcore,3
alternative,stoner,3
grunge,heavy,3
post-hardcore,progressive,3
post-hardcore,atmospheric,3
roll,grindcore,3
roll,thrash,3
glam,hard,3
neofolk,doom,3
neofolk,dark,3
electronica,black,3
electronica,ambient,3
acoustic,folk,3
various,death,3
post-punk,black,3
powerviolence,sludge,3
djent,deathcore,3
blues,rock,3
dungeon,atmospheric,3
dungeon,black,3
dungeon,synth,3
synth,atmospheric,3
synth,black,3
synth,dungeon,3
nu-metal,death,3
aor,hard,3
aor,rock,3
oi!,rac,3
melodic,shred,2
melodic,avant-garde,2
melodic,medieval,2
melodic,crust,2
melodic,punk,2
melodic,depressive,2
melodic,raw,2
melodic,pop,2
melodic,brutal,2
death,neofolk,2
death,classical,2
death,powerviolence,2
death,djent,2
death,rac,2
death,post-black,2
death,extreme,2
death,depressive,2
death,mathcore,2
metalcore,symphonic,2
thrash,thrashcore,2
thrash,latin,2
thrash,psychedelic,2
thrash,fusion,2
technical,speed,2
technical,avant-garde,2
technical,atmospheric,2
technical,goregrind,2
technical,mathcore,2
technical,shred,2
doom,crossover,2
doom,neoclassical,2
doom,roll,2
doom,brutal,2
doom,southern,2
doom,raw,2
stoner,black,2
black,celtic,2
black,darkwave,2
black,stoner,2
ambient,post-black,2
ambient,avant-garde,2
ambient,neofolk,2
ambient,acoustic,2
symphonic,metalcore,2
symphonic,grindcore,2
symphonic,pagan,2
symphonic,classical,2
symphonic,hard,2
gothic,hard,2
gothic,viking,2
gothic,depressive,2
gothic,classical,2
gothic,medieval,2
groove,funk,2
groove,speed,2
groove,glam,2
groove,post-metal,2
deathcore,hardcore,2
deathcore,atmospheric,2
power,industrial,2
power,pop,2
power,dark,2
power,blackened,2
power,shoegaze,2
power,viking,2
power,aor,2
progressive,epic,2
progressive,post-black,2
heavy,funk,2
heavy,avant-garde,2
heavy,pagan,2
heavy,experimental,2
heavy,nu-metal,2
heavy,viking,2
heavy,aor,2
hardcore,brutal,2
hardcore,alternative,2
hardcore,deathcore,2
hardcore,thrashcore,2
hardcore,post-black,2
sludge,industrial,2
sludge,electronic,2
sludge,roll,2
sludge,avant-garde,2
brutal,hardcore,2
brutal,industrial,2
brutal,doom,2
brutal,melodic,2
