genre1,genre2,count
death,thrash,5
death,brutal,4
death,groove,1
death,progressive,4
death,goregrind,1
death,funeral,1
death,doom,3
death,ambient,1
death,electronic,1
death,black,4
death,blackened,3
death,grindcore,2
death,core,1
death,melodic,3
death,symphonic,1
thrash,death,5
thrash,heavy,1
thrash,electronic,1
thrash,progressive,1
thrash,blackened,1
thrash,groove,1
thrash,hardcore,1
thrash,crossover,1
thrash,gothic,1
blackened,doom,1
blackened,death,3
blackened,thrash,1
blackened,symphonic,1
doom,blackened,1
doom,stoner,1
doom,rock,1
doom,funeral,1
doom,death,3
doom,ambient,1
doom,black,1
doom,gothic,1
brutal,death,4
brutal,goregrind,1
brutal,progressive,1
groove,death,1
groove,thrash,1
groove,hardcore,1
heavy,thrash,1
heavy,power,1
heavy,hard,1
heavy,rock,1
stoner,doom,1
stoner,rock,1
rock,stoner,1
rock,doom,1
rock,heavy,1
rock,hard,1
progressive,death,4
progressive,brutal,1
progressive,electronic,1
progressive,thrash,1
progressive,atmospheric,1
progressive,experimental,1
progressive,melodic,1
goregrind,brutal,1
goregrind,death,1
drone,sludge,1
sludge,drone,1
sludge,atmospheric,1
sludge,post-,1
sludge,hardcore,1
raw,black,1
black,raw,1
black,dark,1
black,medieval,1
black,ambient,1
black,death,4
black,melodic,2
black,doom,1
black,atmospheric,1
black,depressive,1
black,symphonic,2
funeral,doom,1
funeral,death,1
funeral,ambient,1
ambient,funeral,1
ambient,doom,1
ambient,death,1
ambient,black,1
ambient,dark,1
ambient,medieval,1
dark,black,1
dark,medieval,1
dark,ambient,1
medieval,black,1
medieval,dark,1
medieval,ambient,1
electronic,progressive,1
electronic,death,1
electronic,thrash,1
atmospheric,experimental,1
atmospheric,progressive,1
atmospheric,sludge,1
atmospheric,post-,1
atmospheric,depressive,1
atmospheric,black,1
experimental,atmospheric,1
experimental,progressive,1
post-,atmospheric,1
post-,sludge,1
celtic,folk,1
folk,celtic,1
grindcore,death,2
power,heavy,1
power,speed,1
hardcore,sludge,1
hardcore,groove,1
hardcore,thrash,1
core,melodic,1
core,death,1
melodic,black,2
melodic,core,1
melodic,death,3
melodic,progressive,1
gothic,doom,1
gothic,thrash,1
symphonic,soundtrack,1
symphonic,black,2
symphonic,blackened,1
symphonic,death,1
soundtrack,symphonic,1
depressive,atmospheric,1
depressive,black,1
crossover,thrash,1
hard,heavy,1
hard,rock,1
speed,power,1
