genre1,genre2,count
melodic,death,1456
death,melodic,1456
death,thrash,1298
thrash,death,1298
death,black,1123
black,death,1123
death,grindcore,572
grindcore,death,572
death,brutal,520
brutal,death,520
heavy,rock,485
rock,heavy,485
rock,hard,459
hard,rock,459
death,doom,442
doom,death,442
power,heavy,421
heavy,power,421
heavy,hard,408
hard,heavy,408
death,progressive,407
progressive,death,407
melodic,black,394
black,melodic,394
thrash,heavy,375
heavy,thrash,375
thrash,groove,336
groove,thrash,336
death,metalcore,331
metalcore,death,331
thrash,black,313
black,thrash,313
black,ambient,275
ambient,black,275
melodic,heavy,270
heavy,melodic,270
thrash,crossover,266
crossover,thrash,266
doom,black,263
black,doom,263
black,atmospheric,260
atmospheric,black,260
death,technical,252
technical,death,252
power,progressive,235
progressive,power,235
melodic,thrash,233
thrash,melodic,233
black,symphonic,233
symphonic,black,233
doom,sludge,229
sludge,doom,229
melodic,metalcore,228
metalcore,melodic,228
black,raw,203
raw,black,203
thrash,power,202
power,thrash,202
doom,stoner,195
stoner,doom,195
progressive,rock,186
rock,progressive,186
melodic,power,184
power,melodic,184
death,groove,178
groove,death,178
doom,gothic,175
gothic,doom,175
thrash,speed,172
speed,thrash,172
black,pagan,162
pagan,black,162
progressive,heavy,159
heavy,progressive,159
thrash,progressive,157
progressive,thrash,157
black,folk,156
folk,black,156
black,depressive,153
depressive,black,153
metalcore,thrash,148
thrash,metalcore,148
death,deathcore,129
deathcore,death,129
melodic,progressive,122
progressive,melodic,122
thrash,hardcore,114
hardcore,thrash,114
doom,funeral,113
heavy,speed,113
speed,heavy,113
funeral,doom,113
black,gothic,111
gothic,black,111
death,gothic,109
gothic,death,109
symphonic,gothic,105
gothic,symphonic,105
symphonic,power,102
power,symphonic,102
brutal,grindcore,95
grindcore,brutal,95
